,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,1,however,333.17,333.17,1.00,3,158.77
,2,group,326.00,326.00,1.00,1,155.36
,3,program,313.37,313.37,1.00,3,149.34
,4,real,301.78,301.78,1.00,3,143.81
,5,word,301.60,301.60,1.00,3,143.73
,6,from,294.43,294.43,1.00,2,140.31
,7,have,294.00,294.00,1.00,1,140.11
,8,consider,293.26,293.26,1.00,7,139.75
,9,hold,291.69,291.69,1.00,4,139.01
,10,public,284.61,284.61,1.00,4,135.63
,11,open,281.01,281.01,1.00,2,133.92
,12,place,279.35,279.35,1.00,2,133.13
,13,early,276.94,276.94,1.00,2,131.98
,14,person,272.00,272.00,1.00,1,129.62
,15,large,271.00,271.00,1.00,1,129.15
,16,small,270.54,270.54,1.00,3,128.93
,17,some,135.16,270.32,0.50,2,128.82
,18,form,270.00,270.00,1.00,5,128.67
,19,ask,269.80,269.80,1.00,2,128.57
,20,late,268.76,268.76,1.00,2,128.08
,21,point,267.96,267.96,1.00,7,127.70
,22,turn,133.31,266.63,0.50,2,127.06
,23,before,266.00,266.00,1.00,1,126.76
,24,run,264.72,264.72,1.00,3,126.15
,25,most,264.00,264.00,1.00,1,125.81
,26,part,264.00,264.00,1.00,1,125.81
,27,while,262.84,262.84,1.00,2,125.26
,28,more,261.00,261.00,1.00,1,124.38
,29,begin,260.63,260.63,1.00,2,124.20
,30,same,259.17,259.17,1.00,3,123.51
,31,move,257.59,257.59,1.00,4,122.76
,32,last,257.26,257.26,1.00,3,122.60
,33,under,256.49,256.49,1.00,2,122.23
,34,few,256.41,256.41,1.00,2,122.19
,35,need,169.22,253.83,0.67,6,120.96
,36,both,253.21,253.21,1.00,6,120.67
,37,life,253.00,253.00,1.00,1,120.57
,38,write,253.00,253.00,1.00,1,120.57
,39,old,168.34,252.51,0.67,3,120.33
,40,still,251.00,251.00,1.00,1,119.61
,41,world,250.04,250.04,1.00,3,119.16
,42,too,250.00,250.00,1.00,1,119.14
,43,feel,0.00,249.74,0.00,3,119.01
,44,can,249.11,249.11,1.00,2,118.71
,45,those,249.00,249.00,1.00,1,118.66
,46,first,124.03,248.06,0.50,2,118.21
,47,year,216.34,247.25,0.88,8,117.83
,48,only,197.75,247.18,0.80,5,117.79
,49,since,247.16,247.16,1.00,3,117.78
,50,know,246.09,246.09,1.00,2,117.28
,51,than,244.57,244.57,1.00,3,116.55
,52,way,244.41,244.41,1.00,3,116.47
,53,up,244.11,244.11,1.00,4,116.33
,54,set,243.93,243.93,1.00,2,116.25
,55,who,243.49,243.49,1.00,2,116.04
,56,around,243.17,243.17,1.00,3,115.88
,57,time,243.17,243.17,1.00,3,115.88
,58,what,242.72,242.72,1.00,4,115.67
,59,man,241.04,241.04,1.00,2,114.87
,60,say,179.81,239.75,0.75,4,114.25
,61,play,239.18,239.18,1.00,3,113.98
,62,no,237.73,237.73,1.00,4,113.29
,63,again,236.29,236.29,1.00,3,112.60
,64,would,235.71,235.71,1.00,4,112.33
,65,with,235.00,235.00,1.00,1,111.99
,66,on,234.54,234.54,1.00,2,111.77
,67,so,234.17,234.17,1.00,2,111.59
,68,mean,232.96,232.96,1.00,2,111.02
,69,which,232.85,232.85,1.00,2,110.97
,70,this,232.72,232.72,1.00,2,110.90
,71,nation,232.47,232.47,1.00,2,110.78
,72,out,232.00,232.00,1.00,1,110.56
,73,they,231.28,231.28,1.00,4,110.22
,74,it,184.51,230.64,0.80,5,109.91
,75,find,230.19,230.19,1.00,3,109.70
,76,each,230.00,230.00,1.00,1,109.61
,77,day,229.93,229.93,1.00,2,109.57
,78,he,229.24,229.24,1.00,4,109.25
,79,in,190.69,228.83,0.83,6,109.05
,80,great,227.00,227.00,1.00,2,108.18
,81,house,226.00,226.00,1.00,1,107.70
,82,there,226.00,226.00,1.00,1,107.70
,83,through,225.31,225.31,1.00,2,107.37
,84,the,112.25,224.50,0.50,2,106.99
,85,then,221.00,221.00,1.00,1,105.32
,86,as,220.79,220.79,1.00,2,105.22
,87,leave,217.00,217.00,1.00,1,103.41
,88,help,144.42,216.63,0.67,3,103.24
,89,here,216.00,216.00,1.00,1,102.94
,90,give,107.28,214.56,0.50,2,102.25
,91,we,214.00,214.00,1.00,1,101.98
,92,become,213.93,213.93,1.00,2,101.95
,93,system,70.60,211.79,0.33,3,100.93
,94,back,210.57,210.57,1.00,5,100.35
,95,also,210.00,210.00,1.00,1,100.08
,96,head,210.00,210.00,1.00,1,100.08
,97,high,208.98,208.98,1.00,2,99.59
,98,if,207.68,207.68,1.00,2,98.97
,99,general,207.00,207.00,1.00,1,98.65
,100,use,207.00,207.00,1.00,1,98.65
,101,may,205.43,205.43,1.00,5,97.90
