,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,1,into,316.00,316.00,1.00,1,225.07
,2,problem,284.00,284.00,1.00,1,202.28
,3,who,239.00,239.00,1.00,1,170.23
,4,one,203.00,203.00,1.00,1,144.59
,5,out,201.33,201.33,1.00,2,143.40
,6,point,197.93,197.93,1.00,5,140.98
,7,those,189.00,189.00,1.00,1,134.62
,8,time,189.00,189.00,1.00,1,134.62
,9,with,189.00,189.00,1.00,1,134.62
,10,nation,187.51,187.51,1.00,3,133.55
,11,turn,185.00,185.00,1.00,1,131.77
,12,child,184.00,184.00,1.00,1,131.05
,13,house,183.00,183.00,1.00,1,130.34
,14,they,182.19,182.19,1.00,2,129.76
,15,new,181.17,181.17,1.00,4,129.04
,16,no,180.00,180.00,1.00,1,128.21
,17,day,179.73,179.73,1.00,2,128.01
,18,know,177.00,177.00,1.00,1,126.07
,19,around,174.00,174.00,1.00,1,123.93
,20,course,172.00,172.00,1.00,1,122.51
,21,hand,169.00,169.00,1.00,1,120.37
,22,mean,169.00,169.00,1.00,2,120.37
,23,more,169.00,169.00,1.00,1,120.37
,24,world,168.00,168.00,1.00,1,119.66
,25,or,167.82,167.82,1.00,3,119.53
,26,both,166.96,166.96,1.00,2,118.92
,27,still,166.00,166.00,1.00,1,118.23
,28,come,124.04,165.39,0.75,4,117.80
,29,long,80.92,161.83,0.50,2,115.26
,30,each,0.00,161.00,0.00,1,114.67
,31,now,160.00,160.00,1.00,1,113.96
,32,go,159.00,159.00,1.00,1,113.25
,33,write,159.00,159.00,1.00,1,113.25
,34,way,158.97,158.97,1.00,2,113.23
,35,she,158.00,158.00,1.00,1,112.54
,36,work,157.12,157.12,1.00,2,111.91
,37,here,157.07,157.07,1.00,3,111.87
,38,just,155.84,155.84,1.00,2,111.00
,39,there,155.00,155.00,1.00,1,110.40
,40,these,155.00,155.00,1.00,1,110.40
,41,without,155.00,155.00,1.00,1,110.40
,42,would,155.00,155.00,1.00,1,110.40
,43,about,154.00,154.00,1.00,1,109.69
,44,this,154.00,154.00,1.00,1,109.69
,45,for,152.00,152.00,1.00,1,108.26
,46,hold,152.00,152.00,1.00,1,108.26
,47,late,152.00,152.00,1.00,1,108.26
,48,than,151.55,151.55,1.00,3,107.94
,49,from,151.00,151.00,1.00,1,107.55
,50,very,151.00,151.00,1.00,1,107.55
,51,we,150.76,150.76,1.00,2,107.38
,52,program,150.00,150.00,1.00,1,106.84
,53,right,149.00,149.00,1.00,1,106.13
,54,not,148.61,148.61,1.00,2,105.85
,55,what,148.46,148.46,1.00,2,105.74
,56,which,148.00,148.00,1.00,1,105.41
,57,you,147.73,147.73,1.00,4,105.22
,58,against,147.00,147.00,1.00,1,104.70
,59,consider,146.89,146.89,1.00,2,104.62
,60,so,145.26,145.26,1.00,2,103.46
,61,could,145.04,145.04,1.00,2,103.30
,62,but,144.83,144.83,1.00,2,103.16
,63,will,143.83,143.83,1.00,3,102.44
,64,place,143.00,143.00,1.00,1,101.85
,65,play,143.00,143.00,1.00,1,101.85
,66,state,143.00,143.00,1.00,1,101.85
,67,thing,143.00,143.00,1.00,1,101.85
,68,group,142.98,142.98,1.00,2,101.84
,69,end,142.48,142.48,1.00,2,101.48
,70,too,142.00,142.00,1.00,1,101.14
,71,change,141.25,141.25,1.00,3,100.61
,72,move,139.20,139.20,1.00,2,99.15
,73,home,139.00,139.00,1.00,1,99.00
,74,that,139.00,139.00,1.00,1,99.00
,75,help,69.41,138.81,0.50,2,98.87
,76,present,137.00,137.00,1.00,1,97.58
,77,take,136.97,136.97,1.00,2,97.56
,78,increase,136.00,136.00,1.00,1,96.87
,79,plan,136.00,136.00,1.00,1,96.87
,80,when,136.00,136.00,1.00,1,96.87
,81,some,135.00,135.00,1.00,1,96.15
,82,because,134.00,134.00,1.00,1,95.44
,83,however,134.00,134.00,1.00,1,95.44
,84,last,133.27,133.27,1.00,2,94.92
,85,during,133.00,133.00,1.00,1,94.73
,86,on,132.44,132.44,1.00,2,94.33
,87,all,131.00,131.00,1.00,1,93.30
,88,by,131.00,131.00,1.00,1,93.30
,89,may,129.41,129.41,1.00,2,92.17
,90,word,129.00,129.00,1.00,1,91.88
,91,such,127.63,127.63,1.00,2,90.90
,92,system,0.00,126.00,0.00,1,89.74
,93,old,125.85,125.85,1.00,2,89.64
,94,must,125.78,125.78,1.00,5,89.59
,95,real,125.00,125.00,1.00,1,89.03
,96,do,123.00,123.00,1.00,1,87.61
,97,through,81.17,121.75,0.67,3,86.72
,98,under,121.00,121.00,1.00,1,86.18
,99,even,118.00,118.00,1.00,1,84.05
,100,have,118.00,118.00,1.00,1,84.05
,101,man,115.00,115.00,1.00,1,81.91
,102,run,115.00,115.00,1.00,1,81.91
,103,line,113.00,113.00,1.00,1,80.48
,104,give,112.47,112.47,1.00,4,80.11
,105,need,111.48,111.48,1.00,2,79.40
,106,never,111.00,111.00,1.00,1,79.06
,107,small,111.00,111.00,1.00,1,79.06
,109,life,110.00,110.00,1.00,1,78.35
,108,feel,0.00,110.00,0.00,1,78.35
,110,form,108.82,108.82,1.00,2,77.51
,111,first,108.00,108.00,1.00,1,76.92
,112,face,107.00,107.00,1.00,1,76.21
,113,interest,101.59,101.59,1.00,2,72.36
,114,show,100.00,100.00,1.00,1,71.23
,115,large,98.00,98.00,1.00,1,69.80
,116,own,95.05,95.05,1.00,2,67.70
,117,be,94.00,94.00,1.00,1,66.95
,118,follow,88.61,88.61,1.00,3,63.11
,119,develop,87.00,87.00,1.00,1,61.97
,120,general,86.00,86.00,1.00,1,61.25
,121,high,78.81,78.81,1.00,2,56.13
,122,govern,73.00,73.00,1.00,1,51.99
,123,tell,70.24,70.24,1.00,2,50.03
,124,fact,59.08,59.08,1.00,2,42.08
,125,then,55.73,55.73,1.00,2,39.69
,126,people,52.46,52.46,1.00,2,37.36
,127,like,26.12,52.25,0.50,2,37.22
,128,person,24.80,49.60,0.50,2,35.33
,129,ask,49.42,49.42,1.00,2,35.20
,130,early,20.00,20.00,1.00,1,14.25
,,the,,,,,
,,of,,,,,
,,and,,,,,
,,a,,,,,
,,to,,,,,
,,in,,,,,
,,he,,,,,
,,it,,,,,
,,as,,,,,
,,at,,,,,
,,say,,,,,
,,make,,,,,
,,can,,,,,
,,if,,,,,
,,other,,,,,
,,up,,,,,
,,only,,,,,
,,year,,,,,
,,see,,,,,
,,use,,,,,
,,get,,,,,
,,any,,,,,
,,over,,,,,
,,think,,,,,
,,most,,,,,
,,find,,,,,
,,also,,,,,
,,after,,,,,
,,many,,,,,
,,look,,,,,
,,before,,,,,
,,great,,,,,
,,back,,,,,
,,where,,,,,
,,much,,,,,
,,should,,,,,
,,well,,,,,
,,down,,,,,
,,good,,,,,
,,seem,,,,,
,,how,,,,,
,,little,,,,,
,,become,,,,,
