,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,1,more,320.30,320.30,1.00,7,168.72
,3,real,290.61,290.61,1.00,12,153.08
,4,most,290.33,290.33,1.00,10,152.93
,6,you,277.28,277.28,1.00,7,146.06
,7,few,268.64,268.64,1.00,4,141.51
,8,nation,266.74,266.74,1.00,8,140.51
,9,year,266.47,266.47,1.00,10,140.37
,10,life,265.51,265.51,1.00,11,139.86
,11,high,265.12,265.12,1.00,13,139.65
,2,move,262.89,292.10,0.90,10,153.87
,12,late,261.99,261.99,1.00,6,138.01
,13,mean,256.94,256.94,1.00,8,135.35
,15,last,253.68,253.68,1.00,12,133.63
,16,how,250.98,250.98,1.00,10,132.21
,18,now,250.25,250.25,1.00,11,131.82
,19,set,248.93,248.93,1.00,11,131.13
,20,line,248.53,248.53,1.00,6,130.92
,26,not,240.97,240.97,1.00,12,126.93
,27,those,240.79,240.79,1.00,11,126.84
,28,ask,239.62,239.62,1.00,12,126.22
,30,with,237.79,237.79,1.00,8,125.26
,31,this,237.59,237.59,1.00,11,125.15
,32,since,236.09,236.09,1,6,124.36
,34,become,233.24,233.24,1.00,4,122.86
,35,hold,232.55,232.55,1.00,8,122.50
,23,house,230.44,243.24,0.95,19,128.13
,22,another,229.95,247.64,0.93,14,130.45
,37,to,228.24,228.24,1.00,12,120.23
,38,out,227.89,227.89,1.00,9,120.04
,40,around,226.95,226.95,1.00,9,119.55
,24,back,226.72,242.91,0.93,15,127.96
,41,who,226.53,226.53,1.00,11,119.33
,42,have,226.52,226.52,1.00,7,119.32
,43,new,225.75,225.75,1.00,8,118.92
,45,think,225.32,225.32,1.00,7,118.69
,48,very,221.62,221.62,1.00,11,116.74
,49,each,221.46,221.46,1.00,10,116.66
,50,turn,220.97,220.97,1.00,10,116.40
,25,system,219.20,241.12,0.91,11,127.01
,52,such,217.87,217.87,1.00,14,114.77
,53,leave,217.74,217.74,1.00,7,114.70
,5,which,217.45,282.68,0.77,13,148.90
,54,large,216.24,216.24,1.00,9,113.91
,55,do,216.00,216.00,1.00,14,113.78
,56,know,215.03,215.03,1.00,4,113.27
,57,may,213.68,213.68,1.00,13,112.56
,58,thing,212.73,212.73,1.00,14,112.06
,21,child,212.46,247.87,0.86,7,130.57
,60,what,212.38,212.38,1.00,12,111.87
,61,find,212.15,212.15,1.00,10,111.75
,62,way,211.26,211.26,1.00,14,111.28
,65,we,209.00,209.00,1.00,14,110.09
,29,can,208.94,238.79,0.88,8,125.78
,36,show,208.70,231.89,0.90,10,122.15
,44,then,208.35,225.71,0.92,13,118.89
,47,use,206.86,221.63,0.93,15,116.75
,66,could,206.46,206.46,1.00,15,108.75
,67,like,205.24,205.24,1.00,14,108.11
,46,on,204.59,223.18,0.92,12,117.56
